Weight(MB),TotalTime,TimeJob1,TimeJob2,Reducers,InMapper,MemoryJob1,MemoryJob2,input_splits
0.271,50.994279408,29.300818627,21.693460781,1,true,422215680,447913984,1
0.271,57.194307062,19.087620027,38.106687035,3,true,448311296,765194240,1
0.271,54.484397826000006,25.652705385,28.831692441,5,true,442605568,1136627712,1
4.9,44.832929500999995,19.221814084,25.611115417,1,true,444456960,451096576,1
4.9,45.681608108,19.061776394,26.619831714,3,true,448372736,795701248,1
4.9,60.231217777,19.10550838,41.125709397,5,true,446214144,1093210112,1
147,149.160227301,25.856634603,123.303592698,1,true,723578880,729169920,2
147,146.043991508,19.233366113,126.810625395,3,true,720273408,1067864064,2
147,143.00518356499998,19.230167048,123.775016517,5,true,724463616,1411596288,4
489,269.87009068599997,25.28493309,244.585157596,1,true,1273729024,1285423104,4
489,174.022693626,48.519136857,125.503556769,3,true,1259515904,1633984512,4
489,156.785873046,24.212235611,132.573637435,5,true,1264992256,1962348544,4
2370,483.86195232,46.618616007,437.243336313,1,true,5266989056,5418733568,19
2370,494.663360284,52.61365174,442.049708544,3,true,5311062016,5885411328,19
2370,488.054051097,52.644690125,435.409360972,5,true,5340758016,6172041216,19
0.271,48.826602513,22.112249162,26.714353351,3,false,444846080,791166976,1
4.9,51.010758444000004,22.301464226,28.709294218,3,false,442724352,790814720,1
147,292.856106871,72.706948697,220.149158174,3,false,726409216,1074110464,2
489,477.414387173,82.837386142,394.577001031,3,false,1276616704,1665601536,4
1190,373.54628987899997,33.747144028,339.799145851,3,true,2880409600,3337281536,10
245,145.189201792,26.720686958,118.468514834,3,true,723582976,1068650496,2
1190,354.830978721,39.384373283,315.446605438,1,true,2870358016,2959622144,10
1190,352.17784516999996,36.501600636,315.676244534,5,true,2911125504,3650752512,10
